iter	Passed	Remaining
777	77663	22160
778	77756	22059
779	77853	21958
780	77950	21858
781	78058	21760
782	78155	21660
783	78261	21561
784	78361	21462
785	78462	21362
786	78554	21260
787	78659	21162
788	78756	21061
789	78857	20962
790	78947	20859
791	79035	20756
792	79126	20654
793	79234	20557
794	79338	20458
795	79433	20357
796	79540	20259
797	79636	20158
798	79728	20056
799	79818	19954
800	79920	19855
801	80017	19755
802	80116	19655
803	80220	19556
804	80327	19458
805	80430	19359
806	80527	19258
807	80615	19156
808	80710	19055
809	80814	18956
810	80909	18855
811	81008	18755
812	81113	18657
813	81203	18554
814	81295	18453
815	81390	18352
816	81492	18253
817	81593	18154
818	81694	18054
819	81797	17955
820	81900	17856
821	82014	17759
822	82128	17663
823	82236	17565
824	82340	17466
825	82446	17367
826	82555	17269
827	82654	17169
828	82759	17071
829	82863	16972
830	82986	16876
831	83096	16779
832	83199	16679
833	83310	16582
834	83411	16482
835	83522	16384
836	83625	16285
837	83730	16186
838	83830	16086
839	83938	15988
840	84057	15892
841	84156	15791
842	84263	15693
843	84358	15592
844	84451	15491
845	84549	15390
846	84648	15290
847	84749	15190
848	84851	15091
849	84941	14989
850	85039	14889
851	85136	14788
852	85241	14689
853	85341	14589
854	85430	14488
855	85544	14390
856	85629	14288
857	85719	14186
858	85820	14086
859	85931	13988
860	86033	13889
861	86134	13789
862	86234	13689
863	86337	13590
864	86434	13489
865	86522	13388
866	86615	13286
867	86715	13187
868	86816	13087
869	86914	12987
870	87008	12886
871	87099	12785
872	87199	12685
873	87304	12586
874	87395	12485
875	87491	12384
876	87598	12285
877	87692	12185
878	87786	12084
879	87889	11984
880	87992	11885
881	88088	11785
882	88194	11686
883	88294	11586
884	88401	11487
885	88510	11388
886	88610	11288
887	88708	11188
888	88808	11088
889	88902	10987
890	88998	10887
891	89091	10786
892	89184	10686
893	89277	10585
894	89374	10485
895	89469	10384
896	89561	10284
897	89650	10182
898	89754	10083
899	89843	9982
900	89942	9882
901	90036	9782
902	90145	9683
903	90239	9582
904	90335	9482
905	90427	9382
906	90534	9283
907	90622	9182
908	90711	9081
909	90821	8982
910	90910	8881
911	91008	8781
912	91107	8681
913	91201	8581
914	91307	8482
915	91397	8381
916	91494	8281
917	91586	8180
918	91677	8080
919	91771	7980
920	91865	7879
921	91958	7779
922	92065	7680
923	92159	7580
924	92259	7480
925	92350	7380
926	92456	7280
927	92564	7181
928	92662	7081
929	92771	6982
930	92870	6883
931	92964	6782
932	93056	6682
933	93145	6582
934	93250	6482
935	93345	6382
936	93438	6282
937	93544	6183
938	93644	6083
939	93746	5983
940	93846	5884
941	93951	5784
942	94051	5685
943	94155	5585
944	94253	5485
945	94349	5385
946	94445	5285
947	94542	5185
948	94637	5085
949	94743	4986
950	94844	4886
951	94935	4786
952	95037	4687
953	95133	4587
954	95243	4487
955	95338	4387
956	95446	4288
957	95539	4188
958	95640	4088
959	95748	3989
960	95856	3890
961	95959	3790
962	96063	3690
963	96174	3591
964	96277	3491
965	96387	3392
966	96499	3293
967	96591	3193
968	96681	3093
969	96781	2993
970	96886	2893
971	96988	2793
972	97087	2694
973	97192	2594
974	97292	2494
975	97394	2394
976	97499	2295
977	97603	2195
978	97702	2095
979	97804	1996
980	97904	1896
981	98011	1796
982	98132	1697
983	98232	1597
984	98333	1497
985	98440	1397
986	98532	1297
987	98637	1198
988	98748	1098
989	98844	998
990	98931	898
991	99034	798
992	99133	698
993	99231	598
994	99322	499
995	99415	399
996	99524	299
997	99613	199
998	99713	99
999	99816	0
